dataset,nodes,features,classes,directed,emb_ratio,k,init_lr,lr_decay,epochs,edge_h,affinity_h,elapsed,diff
CiteSeer,3327,3703,6,FALSE,4,50,0.01,0.99,200,0.74,0.714866052,164,0.025133948
texas,110,1703,5,TRUE,4,10,0.01,0.99,200,0.21,0.27602558,6,0.06602558
cornell,183,1703,5,TRUE,4,50,0.001,0.99,500,0.3,0.221285784,15,0.078714216
chameleon,2277,2325,5,TRUE,3,50,0.01,0.999,200,0.23,0.120667698,68,0.109332302
Cora,2708,1433,7,FALSE,4,20,0.01,0.999,300,0.81,0.697274511,124,0.112725489
squirrel,5201,2089,5,TRUE,3,50,0.01,0.999,200,0.22,0.101535688,275,0.118464312
wisconsin,251,1703,5,TRUE,4,20,0.001,0.99,500,0.11,0.289284407,16,0.179284407
